Fund name,Fund size (in m €),Ticker
Franklin FTSE India UCITS ETF,1577,FLXI
UBS MSCI World Socially Responsible UCITS ETF USD acc,1576,SEAC
Invesco US Technology Sector UCITS ETF,1574,SML3
iShares USD Ultrashort Bond UCITS ETF USD (Acc),1572,OM3G
iShares EUR High Yield Corporate Bond UCITS ETF EUR (Acc),1568,SXRI
Xtrackers MSCI Emerging Markets ESG UCITS ETF 1C,1567,XZEM
WisdomTree Core Physical Gold,1561,WGLD
Xtrackers Nasdaq 100 UCITS ETF 1C,1557,XNAS
HSBC FTSE EPRA NAREIT Developed UCITS ETF USD,1554,H4ZL
AXA IM NASDAQ 100 UCITS ETF USD Acc,1554,ANAV
BNP Paribas Easy MSCI Japan Min TE UCITS ETF,1553,EJAP
Xtrackers MSCI USA Information Technology UCITS ETF 1D,1535,XUTC
iShares MSCI Europe Health Care Sector UCITS ETF EUR (Acc),1533,ESIH
Amundi ETF DAX UCITS ETF DR,1533,CG1G
Invesco Nasdaq-100 Swap UCITS ETF Acc,1526,EQQX
HANetf The Royal Mint Responsibly Sourced Physical Gold ETC,1515,RM8U
WisdomTree Physical Gold - EUR Daily Hedged,1514,GBSE
HSBC Hang Seng TECH UCITS ETF HKD,1511,H4ZX
iShares EUR Corporate Bond 0-3yr ESG SRI UCITS ETF EUR (Acc),1506,IE3E
iShares MSCI EM Latin America UCITS ETF (Dist),1506,IUSC
SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist),1504,SPYW
HSBC MSCI World UCITS ETF USD (Acc),1495,H4ZY
SPDR MSCI World Small Cap UCITS ETF,1494,ZPRS
iShares MSCI Canada UCITS ETF (Acc),1489,SXR2
Deka MSCI World Climate Change ESG UCITS ETF,1487,D6RP
iShares Dow Jones Industrial Average UCITS ETF (Acc),1485,SXRU
BNP Paribas Easy EUR Corporate Bond SRI PAB 3-5Y UCITS ETF,1484,ASR5
HSBC EURO STOXX 50 UCITS ETF EUR,1475,H4ZA
iShares MSCI EMU Screened UCITS ETF EUR (Acc),1470,SLMA
Invesco S&P 500 UCITS ETF GBP Hedged Acc,1470,SML2
iShares Core MSCI Europe UCITS ETF EUR (Acc),1469,CEBZ
iShares Euro Inflation Linked Government Bond UCITS ETF,1459,IBCI
Amundi Euro Government Bond 7-10Y UCITS ETF Acc,1453,LYXD
Amundi MSCI Emerging Markets Asia UCITS ETF EUR (C),1445,AMEA
SPDR MSCI Emerging Markets UCITS ETF,1442,SPYM
BNP Paribas Easy S&P 500 UCITS ETF EUR Hedged,1442,ESEH
iShares MSCI World SRI UCITS ETF USD (Dist),1441,2B7J
SPDR Bloomberg Emerging Markets Local Bond UCITS ETF,1441,SYBM
Amundi STOXX Europe 600 ESG UCITS ETF DR EUR (C),1437,AME6
Amundi Core S&P 500 Swap UCITS ETF EUR Hedged Dist,1435,LYP2
SPDR Morningstar Multi-Asset Global Infrastructure UCITS ETF,1426,ZPRI
Amundi MSCI EMU ESG Selection UCITS ETF DR - EUR (C),1426,AMED
Xtrackers CSI 300 Swap UCITS ETF 1C,1421,XCHA
Amundi Smart Overnight Return UCITS ETF GBP Hedged Acc,1416,B8TM
iShares J.P. Morgan USD Emerging Markets Corp Bond UCITS ETF USD (Acc),1406,QDV8
Deka MSCI Europe UCITS ETF,1394,EL42
Amundi MSCI World Climate Paris Aligned UCITS ETF Acc,1392,PABW
