,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
66,BKNG270115C06900000,2025-11-04 19:54:07+00:00,6900.0,156.72,128.0,164.0,0.0,0.0,6.0,4,0.30827641803741457,False,REGULAR,USD
67,BKNG270115C07000000,2025-11-06 16:04:06+00:00,7000.0,132.0,120.8,152.0,0.0,0.0,1.0,13,0.30816579292297364,False,REGULAR,USD
68,BKNG270115C07100000,2025-11-04 19:46:45+00:00,7100.0,134.36,113.3,144.0,0.0,0.0,6.0,13,0.3102772067451477,False,REGULAR,USD
69,BKNG270115C07200000,2025-11-07 17:53:01+00:00,7200.0,118.0,105.0,132.0,-5.220001,-4.236326,1.0,6,0.30907940378189086,False,REGULAR,USD
70,BKNG270115C07300000,2025-09-22 14:26:25+00:00,7300.0,194.4,0.0,0.0,0.0,0.0,1.0,4,0.062509375,False,REGULAR,USD
71,BKNG270115C07400000,2025-10-08 15:25:03+00:00,7400.0,144.67,89.8,115.8,0.0,0.0,1.0,5,0.31086657157897946,False,REGULAR,USD
72,BKNG270115C07500000,2025-11-06 16:06:13+00:00,7500.0,93.85,84.9,108.0,3.8499985,4.2777762,1.0,17,0.311326238002777,False,REGULAR,USD
73,BKNG270115C07600000,2025-11-06 16:06:13+00:00,7600.0,86.0,70.8,102.9,0.0,0.0,1.0,7,0.31360931148529053,False,REGULAR,USD
74,BKNG270115C07700000,2025-11-05 18:41:17+00:00,7700.0,84.37,64.0,100.0,0.0,0.0,1.0,3,0.31748405148506165,False,REGULAR,USD
75,BKNG270115C07800000,2025-10-28 13:56:06+00:00,7800.0,103.26,60.8,89.8,0.0,0.0,1.0,4,0.314618288822174,False,REGULAR,USD
76,BKNG270115C07900000,2025-11-05 16:59:59+00:00,7900.0,70.15,56.4,83.9,-0.34999847,-0.49645174,1.0,271,0.3151046578598022,False,REGULAR,USD
77,BKNG270115C08000000,2025-11-03 17:57:44+00:00,8000.0,72.0,52.3,78.5,0.0,0.0,1.0,5,0.31568257871627803,False,REGULAR,USD
78,BKNG270115C08100000,2025-11-04 19:48:59+00:00,8100.0,67.4,44.0,76.0,0.0,0.0,1.0,6,0.3188449311256408,False,REGULAR,USD
79,BKNG270115C08200000,2025-07-28 14:04:43+00:00,8200.0,154.8,100.0,132.0,0.0,0.0,1.0,3,0.374369201927185,False,REGULAR,USD
80,BKNG270115C08300000,2025-08-04 16:15:14+00:00,8300.0,111.63,92.0,124.0,0.0,0.0,1.0,3,0.37372070987701417,False,REGULAR,USD
81,BKNG270115C08400000,2025-07-25 13:33:14+00:00,8400.0,149.05,88.0,116.0,0.0,0.0,1.0,2,0.372690751914978,False,REGULAR,USD
82,BKNG270115C08500000,2025-11-05 16:25:28+00:00,8500.0,47.55,40.1,60.0,0.0,0.0,1.0,6,0.32269201484680166,False,REGULAR,USD
83,BKNG270115C08600000,2025-10-20 13:53:21+00:00,8600.0,64.09,28.0,56.0,0.0,0.0,1.0,13,0.3228674891662597,False,REGULAR,USD
