,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
140,SPY260331C00720000,2025-08-29 18:05:09+00:00,720.0,4.69,4.73,4.77,0.010000229,0.21368012,339,145,0.13134108413696288,False,REGULAR,USD
141,SPY260331C00725000,2025-08-29 19:35:23+00:00,725.0,3.9,3.94,3.99,-0.6999998,-15.217388,68,821,0.12961685821533203,False,REGULAR,USD
142,SPY260331C00730000,2025-08-26 18:58:38+00:00,730.0,3.26,3.27,3.31,0.0,0.0,1,887,0.1279231495666504,False,REGULAR,USD
143,SPY260331C00735000,2025-08-26 20:13:00+00:00,735.0,2.9,2.71,2.74,0.0,0.0,1,50,0.12647357910156248,False,REGULAR,USD
144,SPY260331C00740000,2025-08-29 14:00:40+00:00,740.0,2.36,2.23,2.27,-0.0400002,-1.666675,4,97,0.1253139227294922,False,REGULAR,USD
145,SPY260331C00745000,2025-08-28 18:16:02+00:00,745.0,2.13,1.84,1.87,0.0,0.0,1,148,0.12421530090332032,False,REGULAR,USD
146,SPY260331C00750000,2025-08-29 19:51:01+00:00,750.0,1.5,1.52,1.54,-0.23000002,-13.294798,51,766,0.12329978271484376,False,REGULAR,USD
147,SPY260331C00755000,2025-08-29 14:10:00+00:00,755.0,1.29,1.25,1.28,-0.08000004,-5.839419,5,627,0.12281150634765625,False,REGULAR,USD
148,SPY260331C00760000,2025-08-25 19:56:47+00:00,760.0,1.07,1.04,1.06,0.0,0.0,5,336,0.12232322998046877,False,REGULAR,USD
149,SPY260331C00765000,2025-08-27 19:31:41+00:00,765.0,1.01,0.86,0.89,0.0,0.0,6,16,0.12226219543457033,False,REGULAR,USD
150,SPY260331C00770000,2025-08-28 18:28:47+00:00,770.0,0.85,0.72,0.74,0.0,0.0,1,137,0.12207909179687501,False,REGULAR,USD
151,SPY260331C00775000,2025-08-28 14:17:22+00:00,775.0,0.69,0.6,0.62,0.0,0.0,5,68,0.12207909179687501,False,REGULAR,USD
